Rank,Player,Team,Age,GP,Wins,Losses,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PlusMinus
102,Aaron Wiggins,OKC,25,10,6,4,15.7,6.2,2.3,4.7,48.9,0.6,2.0,30.0,1.0,1.1,90.9,0.9,2.3,3.2,1.0,0.9,0.6,0.3,0.8,13.3,0.0,0.0,2.2
103,Marcus Morris Sr.,CLE,34,9,3,6,15.3,6.1,2.4,5.3,45.8,1.0,2.6,39.1,0.2,0.3,66.7,0.2,2.6,2.8,0.3,0.3,0.4,0.0,0.9,10.9,0.0,0.0,-4.3
104,Bojan Bogdanovic,NYK,35,4,3,1,12.7,6.0,1.8,6.0,29.2,1.5,3.8,40.0,1.0,1.8,57.1,0.3,2.8,3.0,1.0,0.3,0.0,0.3,0.8,11.6,0.0,0.0,8.0
104,Patty Mills,MIA,35,3,0,3,17.2,6.0,2.0,5.7,35.3,1.0,3.7,27.3,1.0,1.3,75.0,0.3,0.0,0.3,1.0,0.3,0.3,0.0,0.7,8.6,0.0,0.0,-3.0
104,Thomas Bryant,MIA,26,2,0,2,8.9,6.0,2.5,3.5,71.4,0.0,1.0,0.0,1.0,1.5,66.7,1.0,1.5,2.5,0.5,1.0,0.0,0.0,0.5,8.8,0.0,0.0,-2.0
107,Drew Eubanks,PHX,27,3,0,3,12.5,5.7,2.3,4.0,58.3,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.3,1.3,0.0,0.7,0.7,0.3,2.0,9.6,0.0,0.0,-4.0
107,Maxi Kleber,DAL,32,6,4,2,19.4,5.7,1.8,3.5,52.4,1.7,3.0,55.6,0.3,0.7,50.0,0.5,2.2,2.7,1.5,0.5,0.2,0.5,1.3,12.6,0.0,0.0,2.8
109,Cameron Payne,PHI,29,5,2,3,12.2,5.6,2.0,5.0,40.0,1.6,3.6,44.4,0.0,0.0,0.0,0.0,1.2,1.2,1.4,0.6,0.2,0.8,2.0,11.5,0.0,0.0,-1.2
110,Buddy Hield,PHI,31,4,1,3,12.7,5.5,1.8,4.3,41.2,1.5,3.3,46.2,0.5,0.5,100.0,0.5,0.8,1.3,0.5,0.5,0.0,0.3,1.0,8.0,0.0,0.0,-1.3
110,Isaac Okoro,CLE,23,12,5,7,21.9,5.5,2.1,5.8,35.7,0.8,2.9,25.7,0.6,0.8,77.8,0.4,1.3,1.8,1.1,0.9,0.9,0.3,2.5,12.1,0.0,0.0,-2.6
110,P.J. Tucker,LAC,39,2,0,2,15.3,5.5,2.0,3.0,66.7,1.5,2.0,75.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,1.5,0.0,0.0,3.0,5.8,0.0,0.0,-12.0
113,Precious Achiuwa,NYK,24,9,4,5,20.5,5.2,2.3,4.8,48.8,0.0,0.3,0.0,0.6,1.4,38.5,2.4,1.8,4.2,0.6,0.4,0.4,1.3,2.2,16.0,0.0,0.0,-2.7
114,Ben Sheppard,IND,22,17,8,9,19.7,5.2,1.8,4.2,43.7,1.1,2.9,38.0,0.4,0.5,77.8,0.6,2.4,3.0,1.0,0.6,0.5,0.1,1.9,11.2,0.0,0.0,1.7
115,Cole Anthony,ORL,24,7,3,4,14.7,5.1,1.9,5.9,31.7,0.3,1.9,15.4,1.1,1.3,88.9,0.3,1.9,2.1,1.3,0.7,0.6,0.1,2.3,11.1,0.0,0.0,1.9
116,Christian Braun,DEN,23,12,7,5,17.0,5.1,1.9,4.5,42.6,0.3,1.5,22.2,0.9,1.3,68.8,0.8,1.9,2.7,0.8,0.1,0.2,0.4,1.5,11.1,0.0,0.0,0.7
117,Josh Green,DAL,23,15,11,4,17.8,5.0,1.7,3.9,42.4,1.1,2.9,37.2,0.6,0.7,81.8,1.1,1.7,2.7,1.2,0.4,0.8,0.2,1.5,12.7,0.0,0.0,-0.2
117,Royce O'Neale,PHX,30,4,0,4,26.1,5.0,1.8,5.5,31.8,1.5,4.5,33.3,0.0,0.0,0.0,1.3,3.5,4.8,1.0,0.5,0.3,0.0,2.8,12.5,0.0,0.0,-11.5
119,Haywood Highsmith,MIA,27,5,1,4,25.1,4.8,2.0,5.6,35.7,0.6,3.2,18.8,0.2,0.2,100.0,0.4,2.4,2.8,1.6,0.8,0.2,0.2,2.8,11.0,0.0,0.0,-12.2
120,Tim Hardaway Jr.,DAL,32,10,7,3,13.0,4.6,1.7,4.3,39.5,0.8,2.5,32.0,0.4,0.8,50.0,0.2,1.7,1.9,0.4,0.2,0.4,0.1,0.7,8.8,0.0,0.0,-2.6
121,Pat Connaughton,MIL,31,6,2,4,20.7,4.5,1.8,4.2,44.0,0.5,1.8,27.3,0.3,0.3,100.0,0.5,3.3,3.8,2.2,0.5,1.0,0.2,1.0,15.4,0.0,0.0,0.0
122,Sam Hauser,BOS,26,14,12,2,14.7,4.4,1.6,4.1,38.6,1.1,3.4,33.3,0.1,0.1,100.0,0.2,1.7,1.9,0.6,0.2,0.3,0.2,0.9,8.9,0.0,0.0,4.9
123,Jaylin Williams,OKC,21,10,6,4,12.7,4.4,1.6,3.3,48.5,0.9,2.2,40.9,0.3,0.4,75.0,0.4,2.8,3.2,1.5,0.3,0.4,0.3,1.1,12.3,0.0,0.0,-2.9
124,Kyle Anderson,MIN,30,13,7,6,13.4,4.2,1.7,3.5,48.9,0.1,0.3,25.0,0.8,0.9,83.3,1.1,1.5,2.5,2.4,0.7,0.5,0.3,1.6,12.5,0.0,0.0,-1.8
125,Cason Wallace,OKC,20,10,6,4,19.8,4.2,1.6,4.1,39.0,0.9,2.8,32.1,0.1,0.2,50.0,0.7,0.6,1.3,1.0,0.4,0.9,0.2,1.4,10.2,0.0,0.0,3.2
